name;dt;href;source
Собянин рассказал об изменениях пропускного режима в Москве;2020-04-18 16:04:00;https://yandex.ru/news/story/Sobyanin_rasskazal_ob_izmeneniyakh_propusknogo_rezhima_v_Moskve--368e6037a122237d0af47c10bc6b4ba2?lr=213&lang=ru&stid=sXjEzZ26VsEVDpQeOx8u&persistent_id=94840961&rubric=Moscow&from=index;Вести.Ru
В Москве проходит онлайн-марафон «День наследия – 2020»;2020-04-18 15:47:00;https://yandex.ru/news/story/V_Moskve_prokhodit_onlajn-marafon_Den_naslediya__2020--1cbdd51ae949b6698ea97dd9577735a0?lr=213&lang=ru&stid=9ZHopQzqgnbztA7T8D31&persistent_id=94286230&rubric=Moscow&from=index;Москва 24
В Москве прошла очередная масштабная дезинфекция на фоне коронавируса;2020-04-18 15:38:00;https://yandex.ru/news/story/V_Moskve_proshla_ocherednaya_masshtabnaya_dezinfekciya_na_fone_koronavirusa--12e4823097d0dc1874854b8abf5ed88d?lr=213&lang=ru&stid=Pto2oH2-EdCU3GdIBsA3&persistent_id=94291737&rubric=Moscow&from=index;Газета.Ru
По поручению мэра: как соцработники помогают людям на самоизоляции;2020-04-18 16:01:00;https://yandex.ru/news/story/Po_porucheniyu_mehra_kak_socrabotniki_pomogayut_lyudyam_na_samoizolyacii--0e5a92a5bcd485d7a79172f68505d0b9?lr=213&lang=ru&stid=3GpdmuBuQhIxbEwbhGX-&persistent_id=94842635&rubric=Moscow&from=index;Информационный центр Правительства Москвы
Москвичи с ОРВИ начнут получать бесплатные лекарства;2020-04-18 15:20:00;https://yandex.ru/news/story/Moskvichi_s_ORVI_nachnut_poluchat_besplatnye_lekarstva--6d1d34de14fc01db673b5cfef8096771?lr=213&lang=ru&stid=Pzg5zIAYt-_95A1xxNzd&persistent_id=94841047&rubric=Moscow&from=index;Известия
Между Землей и Луной пролетит недавно обнаруженный астероид;2020-04-17 21:39:00;https://yandex.ru/news/story/Mezhdu_Zemlej_i_Lunoj_proletit_nedavno_obnaruzhennyj_asteroid--ff3580a67ba0c4fd3f7a367168ee526b?lr=213&lang=ru&stid=VQSJExuB_m3FzVaWhuzG&persistent_id=92934171&rubric=personal_feed&from=index;Суть событий 15
В Петербурге могут ввести пропускной режим;2020-04-17 17:42:00;https://yandex.ru/news/story/V_Peterburge_mogut_vvesti_propusknoj_rezhim--256e8e0da413343c8df3109e194d587a?lr=213&lang=ru&stid=2Ncrh6dkZeBmikMqa9Xt&persistent_id=94142577&rubric=personal_feed&from=index;АиФ Санкт-Петербург
Трамп: США установят происхождение нового коронавируса;2020-04-18 16:23:00;https://yandex.ru/news/story/Tramp_SSHA_ustanovyat_proiskhozhdenie_novogo_koronavirusa--377c0e0aed14c64139c2849e6ac457ea?lr=213&lang=ru&stid=PIT3ybQt45Wze5KiKt3k&persistent_id=94843406&rubric=personal_feed&from=index;РЕН ТВ
Частота инфекционных заболеваний может указывать на развитие рака;2020-04-18 14:20:00;https://yandex.ru/news/story/CHastota_infekcionnykh_zabolevanij_mozhet_ukazyvat_na_razvitie_raka--06ec5692e42398d8b819a32a91fedd60?lr=213&lang=ru&stid=WIreT7v5ghnqV4YZWX_0&persistent_id=94346035&rubric=personal_feed&from=index;Машины и Механизмы
В мобильном приложении Сбербанка пользователи обнаружили чужие номера;2020-04-18 15:18:00;https://yandex.ru/news/story/V_mobilnom_prilozhenii_Sberbanka_polzovateli_obnaruzhili_chuzhie_nomera--a2e2b2928d3133a94e7296b5e9c3b506?lr=213&lang=ru&stid=eON8roKEs6qtwW-_0BAi&persistent_id=94333994&rubric=personal_feed&from=index;Ведомости
Путин продлил срок действия истекающих паспортов и водительских прав;2020-04-18 16:21:00;https://yandex.ru/news/story/Putin_prodlil_srok_dejstviya_istekayushhikh_pasportov_i_voditelskikh_prav--a741c520dbd5f9b112e979950c1abd4d?lr=213&lang=ru&stid=-nGx9sUmx0w5wtZvz9_x&persistent_id=94241375&rubric=politics&from=index;РБК
«Великий эскулап» Лукашенко получил ответ из России;2020-04-18 16:16:00;https://yandex.ru/news/story/Velikij_ehskulap_Lukashenko_poluchil_otvet_iz_Rossii--c260ad5df4f07645031c08ac9173139e?lr=213&lang=ru&stid=ZK91Fo0DxFZhlAaCswZs&persistent_id=94854262&rubric=politics&from=index;Вести.Ru
Зеленский раскрыл свой план возвращения Донбасса;2020-04-18 16:19:00;https://yandex.ru/news/story/Zelenskij_raskryl_svoj_plan_vozvrashheniya_Donbassa--10f513363f36c298df1cc9ee4ba1130c?lr=213&lang=ru&stid=NOip8M5fy7FunAEV3f2X&persistent_id=94814039&rubric=politics&from=index;Известия
Путин не поедет в храм Христа Спасителя на пасхальную службу;2020-04-18 16:03:00;https://yandex.ru/news/story/Putin_ne_poedet_v_khram_KHrista_Spasitelya_na_paskhalnuyu_sluzhbu--ba052b90226b0b6d55d105e5f288b3fe?lr=213&lang=ru&stid=wPlj5TEtftL7KCN6rEsz&persistent_id=94858078&rubric=politics&from=index;Известия
